"type","user","text","ts"
"message","U02HU6FTQ","I mentioned this once before, but some JSON libraries don't do the best job with anything other than an object as the root object.","1412984048.000252"
"message","U02HRG39Y","so obvious","1412984046.000251"
"message","U02HRG39Y","derp","1412984044.000250"
"message","U02HU6FTQ","And I changed the `res.json` that you're sending back to be an object containing an array.","1412984024.000249"
"message","U02HU6FTQ","I made 2 changes. I returned the test to the original expectation.","1412984009.000248"
"message","U02HRG39Y","that equaled the array","1412983993.000247"
"message","U02HRG39Y","it wasn't returning an object with a ""doctors"" property","1412983987.000246"
"message","U02HU6FTQ","Yup, pull down the latest.","1412983982.000245"
"message","U02HRG39Y","but for realz, we were parsing the body object and getting back an array with one item in it","1412983960.000244"
"message","U02HHKDHF",":smoking:","1412983945.000243"
"message","U02HRG39Y",":smile_cat:","1412983926.000242"
"message","U02J974JP","not really","1412983924.000241"
"message","U02HRG39Y","joking...","1412983920.000240"
"message","U02HU6FTQ","I don't know if you're serious or not.","1412983915.000239"
"message","U02J974JP","beer cam out","1412983904.000238"
"message","U02HRG39Y","steve forced everyone to drink","1412983902.000237"
"message","U02HRG39Y","we are all wasted","1412983894.000236"
"message","U02HU6FTQ","I'll push real quick something that makes that work.","1412983877.000235"
"message","U02HU6FTQ","You should not have changed the expectation, though.","1412983870.000234"
"message","U02HU6FTQ","It looks great!","1412983858.000233"
"message","U02HU6FTQ","Checking…","1412983820.000232"
"message","U02HRG39Y","will you check our passing test now","1412983807.000231"
"message","U02HU6FTQ","Type `q` to get out of the `less` program.","1412982590.000230"
"message","U02HU6FTQ","If you `git log` you should see _Test failing for the right reason._ as the first log message.","1412982582.000229"
"message","U02HU6FTQ","I pushed something that you should pull (a few minutes ago).","1412982556.000228"
"message","U02HRG39Y","oh kewl","1412982549.000227"
"message","U02HU6FTQ","And all the callbacky stuff is good.","1412982542.000226"
"message","U02HU6FTQ","Yes, it's a good idea.","1412982530.000225"
"message","U02HRG39Y","all callbacky and stuff?","1412982522.000224"
"message","U02HRG39Y","so our test idea was appropriate: that we needed to do a post request, then do a get request for that data?","1412982510.000223"
"message","U02HRG39Y","hold up","1412982469.000222"
